분류명,분류코드
인천 중구,510020
인천 동구,510021
미추홀구,510022
연수구,510023
남동구,510024
부평구,510025
계양구,510026
인천 서구,510027
대구 중구,510033
대구 동구,510034
대구 서구,510035
대구 남구,510036
대구 북구,510037
수성구,510038
달서구,510039
달성군,510040
광주 동구,510042
광주 서구,510043
광주 남구,510044
광주 북구,510045
광산구,510046
대전 동구,510048
대전 중구,510049
대전 서구,510050
유성구,510051
대덕구,510052
울산 중구,510054
울산 남구,510055
울산 동구,510056
울산 북구,510057
울주군,510058
춘천시,510061
원주시,510062
강릉시,510063
동해시,510064
태백시,510065
속초시,510066
삼척시,510067
충주시,510070
제천시,510071
음성군,510072
공주시,510075
보령시,510076
아산시,510077
서산시,510078
논산시,510079
계룡시,510080
홍성군,510081
예산군,510082
당진시,510083
군산시,510086
익산시,510087
정읍시,510088
남원시,510089
김제시,510090
목포시,510092
여수시,510093
순천시,510094
나주시,510095
광양시,510096
무안군,510097
경주시,510100
김천시,510101
안동시,510102
구미시,510103
영주시,510104
영천시,510105
상주시,510106
문경시,510107
경산시,510108
칠곡군,510109
진주시,510112
통영시,510113
사천시,510114
김해시,510115
밀양시,510116
거제시,510117
양산시,510118
제주시,510120
서귀포시,510121
과천시,520018
군포시,520021
의왕시,520022
안성시,520024
시흥시,520030
광명시,520031
화성시,520032
오산시,520033
평택시,520034
남양주시,520036
구리시,520037
하남시,520038
광주시,520039
이천시,520041
여주시,520042
김포시,520044
파주시,520046
포천시,520048
동두천시,520049
양주시,520050
의정부시,520051
부산 중구,520063
부산 서구,520064
부산 동구,520065
영도구,520066
부산진구,520067
부산 남구,520068
연제구,520069
수영구,520070
해운대구,520072
금정구,520073
동래구,520074
기장군,520075
부산 북구,520077
부산 강서구,520078
사상구,520079
사하구,520080
청주시 상당구,520119
청주시 서원구,520120
청주시 흥덕구,520121
청주시 청원구,520122
천안시 동남구,520128
천안시 서북구,520129
전주시 완산구,520141
전주시 덕진구,520142
포항시 남구,520157
포항시 북구,520158
창원시 의창구,520171
창원시 성산구,520172
창원시 마산합포구,520173
창원시 마산회원구,520174
창원시 진해구,520175
종로구,530011
서울 중구,530012
용산구,530013
성동구,530015
광진구,530016
동대문구,530017
중랑구,530018
성북구,530019
강북구,530020
도봉구,530021
노원구,530022
은평구,530024
서대문구,530025
마포구,530026
양천구,530029
서울 강서구,530030
구로구,530031
금천구,530032
영등포구,530033
동작구,530034
관악구,530035
서초구,530037
강남구,530038
송파구,530039
강동구,530040
안양시 만안구,530045
안양시 동안구,530046
성남시 수정구,530048
성남시 중원구,530049
성남시 분당구,530050
용인시 처인구,530056
용인시 기흥구,530057
용인시 수지구,530058
수원시 장안구,530060
수원시 권선구,530061
수원시 팔달구,530062
수원시 영통구,530063
안산시 상록구,530067
안산시 단원구,530068
고양시 덕양구,530085
고양시 일산동구,530086
고양시 일산서구,530087
부천시,520028
세종특별자치시,500016